index,family,kind,n,m,delta,siriaisa_size,optimum,ratio,expected_constant,within_bound,siriaisa_ms,milp_ms
5824,regular,bounded,8,8,2,3,3,1.0000,2.0000,1,1.468,13.285
5825,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.835,1.156
5826,lollipop,bounded,15,35,8,3,3,1.0000,8.0000,1,2.379,11.378
5827,clique,rigid,3,3,2,1,1,1.0000,1.0000,1,0.663,0.962
5828,star,rigid,14,13,13,1,1,1.0000,1.0000,1,1.443,1.013
5829,complete_bipartite,rigid,3,2,2,1,1,1.0000,1.0000,1,0.631,0.864
5830,crown,rigid,12,30,5,2,2,1.0000,1.0000,1,1.570,8.401
5831,double_star,rigid,20,19,12,8,8,1.0000,1.0000,1,2.282,1.083
5832,erdos_renyi,random,21,20,4,9,9,1.0000,4.0000,1,3.168,10.750
5833,barabasi_albert,random,33,32,13,14,14,1.0000,13.0000,1,3.718,1.182
5834,random_tree,random,9,8,3,3,3,1.0000,3.0000,1,1.403,0.900
5835,path,bounded,33,32,2,11,11,1.0000,2.0000,1,3.689,10.022
5836,cycle,bounded,9,9,2,3,3,1.0000,2.0000,1,1.276,11.141
5837,ladder,bounded,22,31,3,6,6,1.0000,3.0000,1,3.325,10.199
5838,grid,bounded,20,31,4,6,6,1.0000,4.0000,1,3.283,10.176
5839,regular,bounded,16,32,4,4,4,1.0000,4.0000,1,3.076,9.521
5840,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.631,1.920
5841,lollipop,bounded,7,9,4,2,2,1.0000,4.0000,1,1.436,1.050
5842,clique,rigid,3,3,2,1,1,1.0000,1.0000,1,0.609,0.868
5843,star,rigid,4,3,3,1,1,1.0000,1.0000,1,0.653,0.827
5844,complete_bipartite,rigid,17,66,11,6,6,1.0000,1.0000,1,2.485,1.580
5845,crown,rigid,10,20,4,2,2,1.0000,1.0000,1,1.152,9.055
5846,double_star,rigid,17,16,10,7,7,1.0000,1.0000,1,2.385,1.110
5847,erdos_renyi,random,14,32,8,3,3,1.0000,8.0000,1,2.867,8.222
5848,barabasi_albert,random,19,18,6,7,7,1.0000,6.0000,1,2.495,11.034
5849,random_tree,random,39,38,4,13,13,1.0000,4.0000,1,4.981,11.178
5850,path,bounded,23,22,2,8,8,1.0000,2.0000,1,3.106,10.625
5851,cycle,bounded,35,35,2,12,12,1.0000,2.0000,1,4.552,13.192
