index,family,kind,n,m,delta,siriaisa_size,optimum,ratio,expected_constant,within_bound,siriaisa_ms,milp_ms
0,path,bounded,23,22,2,8,8,1.0000,2.0000,1,2.999,14.958
1,cycle,bounded,20,20,2,7,7,1.0000,2.0000,1,3.182,12.911
2,ladder,bounded,20,28,3,6,6,1.0000,3.0000,1,3.665,14.000
3,grid,bounded,16,24,4,4,4,1.0000,4.0000,1,2.737,9.765
4,regular,bounded,10,20,4,3,3,1.0000,4.0000,1,1.713,10.649
5,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,1.828,12.037
6,lollipop,bounded,6,6,3,2,2,1.0000,3.0000,1,1.223,1.044
7,clique,rigid,1,0,0,1,1,1.0000,1.0000,1,0.306,0.849
8,star,rigid,7,6,6,1,1,1.0000,1.0000,1,0.922,0.947
9,complete_bipartite,rigid,20,99,11,9,9,1.0000,1.0000,1,3.333,1.837
10,crown,rigid,4,2,1,2,2,1.0000,1.0000,1,0.815,0.836
11,double_star,rigid,7,6,4,3,3,1.0000,1.0000,1,1.040,0.822
12,erdos_renyi,random,29,37,6,11,11,1.0000,6.0000,1,4.311,9.347
13,barabasi_albert,random,13,12,6,6,6,1.0000,6.0000,1,1.770,1.027
14,random_tree,random,32,31,5,11,11,1.0000,5.0000,1,3.937,12.085
15,path,bounded,7,6,2,3,3,1.0000,2.0000,1,1.154,0.942
16,cycle,bounded,12,12,2,4,4,1.0000,2.0000,1,1.314,11.266
17,ladder,bounded,34,49,3,9,9,1.0000,3.0000,1,5.133,10.784
18,grid,bounded,10,13,3,3,3,1.0000,4.0000,1,1.801,10.065
19,regular,bounded,8,12,3,2,2,1.0000,3.0000,1,1.198,9.820
20,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,2.089,12.163
21,lollipop,bounded,9,11,4,3,3,1.0000,4.0000,1,1.587,16.350
22,clique,rigid,7,21,6,1,1,1.0000,1.0000,1,1.145,1.091
23,star,rigid,4,3,3,1,1,1.0000,1.0000,1,0.705,0.941
24,complete_bipartite,rigid,13,22,11,2,2,1.0000,1.0000,1,1.586,1.182
25,crown,rigid,10,20,4,2,2,1.0000,1.0000,1,1.207,8.926
26,double_star,rigid,6,5,4,2,2,1.0000,1.0000,1,1.231,0.974
27,erdos_renyi,random,22,63,9,5,5,1.0000,9.0000,1,4.358,19.789
28,barabasi_albert,random,26,48,12,5,5,1.0000,12.0000,1,3.995,9.401
29,random_tree,random,20,19,4,8,8,1.0000,4.0000,1,2.585,1.356
30,path,bounded,3,2,2,1,1,1.0000,2.0000,1,0.759,0.810
31,cycle,bounded,28,28,2,10,10,1.0000,2.0000,1,2.967,11.784
32,ladder,bounded,24,34,3,7,7,1.0000,3.0000,1,3.480,11.503
33,grid,bounded,25,40,4,7,7,1.0000,4.0000,1,4.082,12.464
34,regular,bounded,29,29,2,10,10,1.0000,2.0000,1,3.461,11.538
35,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.749,1.036
36,lollipop,bounded,17,31,7,4,4,1.0000,7.0000,1,2.524,10.721
37,clique,rigid,10,45,9,1,1,1.0000,1.0000,1,1.618,1.224
38,star,rigid,3,2,2,1,1,1.0000,1.0000,1,0.751,0.931
39,complete_bipartite,rigid,16,60,10,6,6,1.0000,1.0000,1,2.677,1.355
40,crown,rigid,4,2,1,2,2,1.0000,1.0000,1,0.746,0.775
41,double_star,rigid,17,16,10,7,7,1.0000,1.0000,1,1.779,0.968
42,erdos_renyi,random,16,60,11,2,2,1.0000,11.0000,1,2.717,7.838
43,barabasi_albert,random,22,21,7,10,10,1.0000,7.0000,1,2.663,1.453
44,random_tree,random,38,37,4,13,13,1.0000,4.0000,1,4.879,12.857
45,path,bounded,33,32,2,11,11,1.0000,2.0000,1,4.535,10.022
46,cycle,bounded,7,7,2,3,3,1.0000,2.0000,1,1.137,10.807
47,ladder,bounded,30,43,3,8,8,1.0000,3.0000,1,4.660,10.114
48,grid,bounded,8,10,3,3,3,1.0000,4.0000,1,1.472,10.535
49,regular,bounded,10,25,5,2,2,1.0000,5.0000,1,1.469,10.499
50,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.774,1.029
51,lollipop,bounded,10,30,8,2,2,1.0000,8.0000,1,1.750,1.130
52,clique,rigid,1,0,0,1,1,1.0000,1.0000,1,0.301,0.822
53,star,rigid,21,20,20,1,1,1.0000,1.0000,1,1.813,1.114
54,complete_bipartite,rigid,23,132,12,11,11,1.0000,1.0000,1,4.309,2.295
55,crown,rigid,6,6,2,2,2,1.0000,1.0000,1,0.742,11.236
56,double_star,rigid,16,15,12,4,4,1.0000,1.0000,1,1.997,1.128
57,erdos_renyi,random,21,82,12,3,3,1.0000,12.0000,1,4.494,8.543
58,barabasi_albert,random,26,48,12,9,9,1.0000,12.0000,1,3.762,11.829
59,random_tree,random,17,16,3,6,6,1.0000,3.0000,1,2.271,11.163
60,path,bounded,14,13,2,5,5,1.0000,2.0000,1,2.098,11.694
61,cycle,bounded,5,5,2,2,2,1.0000,2.0000,1,0.889,11.138
62,ladder,bounded,34,49,3,9,9,1.0000,3.0000,1,5.233,9.549
63,grid,bounded,15,22,4,4,4,1.0000,4.0000,1,2.466,9.682
64,regular,bounded,13,26,4,3,3,1.0000,4.0000,1,1.823,10.242
65,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,2.134,12.548
66,lollipop,bounded,13,15,4,4,4,1.0000,4.0000,1,2.049,12.055
67,clique,rigid,11,55,10,1,1,1.0000,1.0000,1,1.980,1.405
68,star,rigid,23,22,22,1,1,1.0000,1.0000,1,2.186,1.133
69,complete_bipartite,rigid,12,27,9,3,3,1.0000,1.0000,1,1.426,1.896
70,crown,rigid,8,12,3,2,2,1.0000,1.0000,1,1.141,9.318
71,double_star,rigid,15,14,10,5,5,1.0000,1.0000,1,1.949,1.028
72,erdos_renyi,random,24,67,9,4,4,1.0000,9.0000,1,4.876,8.192
73,barabasi_albert,random,20,19,8,7,7,1.0000,8.0000,1,2.511,1.141
74,random_tree,random,17,16,5,8,8,1.0000,5.0000,1,2.186,0.993
75,path,bounded,40,39,2,14,14,1.0000,2.0000,1,4.335,10.624
76,cycle,bounded,21,21,2,7,7,1.0000,2.0000,1,2.469,12.086
77,ladder,bounded,28,40,3,8,8,1.0000,3.0000,1,5.741,11.826
78,grid,bounded,6,7,3,2,2,1.0000,4.0000,1,1.143,10.338
79,regular,bounded,34,51,3,10,10,1.0000,3.0000,1,4.326,46.788
80,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.607,1.110
81,lollipop,bounded,10,15,5,3,3,1.0000,5.0000,1,1.438,16.738
82,clique,rigid,6,15,5,1,1,1.0000,1.0000,1,0.988,1.060
83,star,rigid,6,5,5,1,1,1.0000,1.0000,1,0.873,1.099
84,complete_bipartite,rigid,8,15,5,3,3,1.0000,1.0000,1,1.325,1.057
85,crown,rigid,4,2,1,2,2,1.0000,1.0000,1,0.838,0.842
86,double_star,rigid,14,13,11,3,3,1.0000,1.0000,1,1.536,0.901
87,erdos_renyi,random,30,56,7,8,8,1.0000,7.0000,1,4.717,8.761
88,barabasi_albert,random,13,22,9,3,3,1.0000,9.0000,1,1.977,8.556
89,random_tree,random,4,3,2,2,2,1.0000,2.0000,1,0.900,0.860
90,path,bounded,5,4,2,2,2,1.0000,2.0000,1,0.912,0.827
91,cycle,bounded,28,28,2,10,10,1.0000,2.0000,1,3.213,13.796
92,ladder,bounded,20,28,3,6,6,1.0000,3.0000,1,3.630,14.116
93,grid,bounded,12,16,3,4,4,1.0000,4.0000,1,1.901,10.097
94,regular,bounded,26,39,3,7,7,1.0000,3.0000,1,3.467,26.994
95,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,1.767,11.987
96,lollipop,bounded,9,11,4,3,3,1.0000,4.0000,1,1.537,18.199
97,clique,rigid,8,28,7,1,1,1.0000,1.0000,1,1.329,1.704
98,star,rigid,26,25,25,1,1,1.0000,1.0000,1,4.275,1.618
99,complete_bipartite,rigid,19,90,10,9,9,1.0000,1.0000,1,3.282,1.866
100,crown,rigid,10,20,4,2,2,1.0000,1.0000,1,1.133,10.564
101,double_star,rigid,14,13,9,5,5,1.0000,1.0000,1,2.336,1.295
102,erdos_renyi,random,29,38,6,11,11,1.0000,6.0000,1,4.897,10.302
103,barabasi_albert,random,25,46,16,7,7,1.0000,16.0000,1,3.211,9.377
104,random_tree,random,37,36,6,14,14,1.0000,6.0000,1,4.502,14.588
105,path,bounded,19,18,2,7,7,1.0000,2.0000,1,2.659,10.807
106,cycle,bounded,31,31,2,11,11,1.0000,2.0000,1,3.804,16.792
107,ladder,bounded,30,43,3,8,8,1.0000,3.0000,1,4.448,10.434
108,grid,bounded,25,40,4,7,7,1.0000,4.0000,1,4.248,13.626
109,regular,bounded,6,9,3,2,2,1.0000,3.0000,1,0.970,10.784
110,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,2.331,15.408
111,lollipop,bounded,16,36,8,4,4,1.0000,8.0000,1,2.686,12.593
112,clique,rigid,12,66,11,1,1,1.0000,1.0000,1,2.117,1.484
113,star,rigid,26,25,25,1,1,1.0000,1.0000,1,2.320,1.188
114,complete_bipartite,rigid,15,50,10,5,5,1.0000,1.0000,1,1.968,1.379
115,crown,rigid,12,30,5,2,2,1.0000,1.0000,1,1.347,8.358
116,double_star,rigid,14,13,8,6,6,1.0000,1.0000,1,1.913,1.041
117,erdos_renyi,random,19,12,5,12,12,1.0000,5.0000,1,3.466,1.014
118,barabasi_albert,random,12,20,8,4,4,1.0000,8.0000,1,1.562,8.844
119,random_tree,random,8,7,3,3,3,1.0000,3.0000,1,1.245,0.922
120,path,bounded,3,2,2,1,1,1.0000,2.0000,1,0.730,0.864
121,cycle,bounded,12,12,2,4,4,1.0000,2.0000,1,1.420,10.257
122,ladder,bounded,34,49,3,9,9,1.0000,3.0000,1,5.260,9.797
123,grid,bounded,20,31,4,6,6,1.0000,4.0000,1,3.332,10.967
124,regular,bounded,6,9,3,2,2,1.0000,3.0000,1,1.030,9.918
125,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,2.185,12.132
126,lollipop,bounded,14,16,4,4,4,1.0000,4.0000,1,2.057,11.195
127,clique,rigid,14,91,13,1,1,1.0000,1.0000,1,2.482,1.552
128,star,rigid,10,9,9,1,1,1.0000,1.0000,1,1.178,1.048
129,complete_bipartite,rigid,12,11,11,1,1,1.0000,1.0000,1,1.267,0.876
130,crown,rigid,6,6,2,2,2,1.0000,1.0000,1,0.683,10.270
131,double_star,rigid,20,19,13,7,7,1.0000,1.0000,1,2.438,1.184
132,erdos_renyi,random,32,109,11,6,6,1.0000,11.0000,1,7.447,49.684
133,barabasi_albert,random,32,31,11,13,13,1.0000,11.0000,1,3.322,1.435
134,random_tree,random,32,31,4,13,13,1.0000,4.0000,1,4.102,11.198
135,path,bounded,8,7,2,3,3,1.0000,2.0000,1,1.265,11.290
136,cycle,bounded,9,9,2,3,3,1.0000,2.0000,1,1.260,12.644
137,ladder,bounded,26,37,3,7,7,1.0000,3.0000,1,4.533,12.221
138,grid,bounded,12,17,4,4,4,1.0000,4.0000,1,2.996,12.719
139,regular,bounded,4,6,3,1,1,1.0000,3.0000,1,0.780,1.149
140,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.663,1.070
141,lollipop,bounded,11,20,6,3,3,1.0000,6.0000,1,1.975,15.858
142,clique,rigid,14,91,13,1,1,1.0000,1.0000,1,2.544,1.769
143,star,rigid,26,25,25,1,1,1.0000,1.0000,1,2.436,1.169
144,complete_bipartite,rigid,4,4,2,2,2,1.0000,1.0000,1,0.555,0.834
145,crown,rigid,12,30,5,2,2,1.0000,1.0000,1,1.337,8.467
146,double_star,rigid,17,16,13,4,4,1.0000,1.0000,1,2.202,1.168
147,erdos_renyi,random,27,18,4,15,15,1.0000,4.0000,1,4.883,10.394
148,barabasi_albert,random,27,26,8,11,11,1.0000,8.0000,1,2.965,1.100
149,random_tree,random,34,33,4,13,13,1.0000,4.0000,1,4.059,11.570
150,path,bounded,36,35,2,12,12,1.0000,2.0000,1,5.779,10.871
151,cycle,bounded,38,38,2,13,13,1.0000,2.0000,1,4.341,12.462
152,ladder,bounded,14,19,3,4,4,1.0000,3.0000,1,2.201,9.621
153,grid,bounded,24,38,4,7,7,1.0000,4.0000,1,4.036,11.756
154,regular,bounded,9,9,2,3,3,1.0000,2.0000,1,1.261,10.914
155,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.786,1.234
156,lollipop,bounded,5,7,4,1,1,1.0000,4.0000,1,1.250,9.914
157,clique,rigid,9,36,8,1,1,1.0000,1.0000,1,1.532,1.743
158,star,rigid,20,19,19,1,1,1.0000,1.0000,1,2.012,1.195
159,complete_bipartite,rigid,14,33,11,3,3,1.0000,1.0000,1,1.854,1.154
160,crown,rigid,6,6,2,2,2,1.0000,1.0000,1,0.683,11.691
161,double_star,rigid,19,18,13,6,6,1.0000,1.0000,1,2.407,1.160
162,erdos_renyi,random,32,167,18,4,4,1.0000,18.0000,1,8.290,48.253
163,barabasi_albert,random,27,50,16,6,6,1.0000,16.0000,1,3.827,10.324
164,random_tree,random,28,27,3,11,11,1.0000,3.0000,1,3.889,11.366
165,path,bounded,27,26,2,9,9,1.0000,2.0000,1,3.925,10.272
166,cycle,bounded,20,20,2,7,7,1.0000,2.0000,1,2.468,12.142
167,ladder,bounded,32,46,3,9,9,1.0000,3.0000,1,4.746,10.231
168,grid,bounded,8,10,3,3,3,1.0000,4.0000,1,1.444,10.107
169,regular,bounded,14,21,3,4,4,1.0000,3.0000,1,1.897,9.938
170,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,1.896,11.738
171,lollipop,bounded,10,15,5,3,3,1.0000,5.0000,1,1.667,16.425
172,clique,rigid,5,10,4,1,1,1.0000,1.0000,1,0.869,1.026
173,star,rigid,8,7,7,1,1,1.0000,1.0000,1,1.006,0.961
174,complete_bipartite,rigid,9,14,7,2,2,1.0000,1.0000,1,1.673,1.236
175,crown,rigid,10,20,4,2,2,1.0000,1.0000,1,1.130,8.625
176,double_star,rigid,8,7,4,4,4,1.0000,1.0000,1,1.644,1.143
177,erdos_renyi,random,16,23,5,5,5,1.0000,5.0000,1,2.542,11.317
178,barabasi_albert,random,23,22,11,10,10,1.0000,11.0000,1,2.913,1.124
179,random_tree,random,18,17,3,7,7,1.0000,3.0000,1,2.449,10.961
180,path,bounded,10,9,2,4,4,1.0000,2.0000,1,1.604,12.015
181,cycle,bounded,23,23,2,8,8,1.0000,2.0000,1,2.845,12.334
182,ladder,bounded,4,4,2,2,2,1.0000,3.0000,1,0.776,0.976
183,grid,bounded,24,38,4,7,7,1.0000,4.0000,1,3.784,15.119
184,regular,bounded,4,4,2,2,2,1.0000,2.0000,1,0.752,1.043
185,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.531,0.914
186,lollipop,bounded,12,12,3,4,4,1.0000,3.0000,1,1.783,10.684
187,clique,rigid,2,1,1,1,1,1.0000,1.0000,1,0.462,0.918
188,star,rigid,29,28,28,1,1,1.0000,1.0000,1,2.657,1.298
189,complete_bipartite,rigid,20,96,12,8,8,1.0000,1.0000,1,3.394,1.787
190,crown,rigid,10,20,4,2,2,1.0000,1.0000,1,1.188,8.946
191,double_star,rigid,9,8,7,2,2,1.0000,1.0000,1,1.473,1.071
192,erdos_renyi,random,30,46,6,10,10,1.0000,6.0000,1,5.069,12.124
193,barabasi_albert,random,11,10,5,5,5,1.0000,5.0000,1,1.464,0.976
194,random_tree,random,34,33,4,13,13,1.0000,4.0000,1,4.299,13.349
195,path,bounded,11,10,2,4,4,1.0000,2.0000,1,1.743,11.729
196,cycle,bounded,34,34,2,12,12,1.0000,2.0000,1,4.058,12.396
197,ladder,bounded,32,46,3,9,9,1.0000,3.0000,1,4.985,9.492
198,grid,bounded,12,16,3,4,4,1.0000,4.0000,1,1.905,10.666
199,regular,bounded,5,5,2,2,2,1.0000,2.0000,1,0.840,11.813
200,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.853,1.209
201,lollipop,bounded,16,25,6,4,4,1.0000,6.0000,1,2.391,11.832
202,clique,rigid,7,21,6,1,1,1.0000,1.0000,1,1.189,1.182
203,star,rigid,9,8,8,1,1,1.0000,1.0000,1,1.088,0.955
204,complete_bipartite,rigid,9,14,7,2,2,1.0000,1.0000,1,1.199,1.055
205,crown,rigid,12,30,5,2,2,1.0000,1.0000,1,1.440,9.435
206,double_star,rigid,17,16,11,6,6,1.0000,1.0000,1,2.141,1.069
207,erdos_renyi,random,14,2,1,12,12,1.0000,1.0000,1,3.372,0.958
208,barabasi_albert,random,28,52,11,8,8,1.0000,11.0000,1,3.860,9.612
209,random_tree,random,29,28,4,11,11,1.0000,4.0000,1,3.907,1.271
210,path,bounded,17,16,2,6,6,1.0000,2.0000,1,2.176,10.530
211,cycle,bounded,37,37,2,13,13,1.0000,2.0000,1,4.979,13.268
212,ladder,bounded,6,7,3,2,2,1.0000,3.0000,1,1.623,10.718
213,grid,bounded,20,31,4,6,6,1.0000,4.0000,1,3.216,9.841
214,regular,bounded,32,80,5,7,7,1.0000,5.0000,1,5.369,58.376
215,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,2.239,12.540
216,lollipop,bounded,12,21,6,3,3,1.0000,6.0000,1,3.173,12.018
217,clique,rigid,9,36,8,1,1,1.0000,1.0000,1,1.550,1.444
218,star,rigid,29,28,28,1,1,1.0000,1.0000,1,2.521,1.274
219,complete_bipartite,rigid,13,42,7,6,6,1.0000,1.0000,1,1.830,1.214
220,crown,rigid,10,20,4,2,2,1.0000,1.0000,1,1.175,8.886
221,double_star,rigid,12,11,7,5,5,1.0000,1.0000,1,1.685,1.023
222,erdos_renyi,random,27,108,12,4,4,1.0000,12.0000,1,6.111,25.602
223,barabasi_albert,random,16,15,8,6,6,1.0000,8.0000,1,1.792,1.138
224,random_tree,random,29,28,4,10,10,1.0000,4.0000,1,3.872,11.324
225,path,bounded,7,6,2,3,3,1.0000,2.0000,1,1.177,0.983
226,cycle,bounded,27,27,2,9,9,1.0000,2.0000,1,3.060,10.923
227,ladder,bounded,18,25,3,5,5,1.0000,3.0000,1,3.025,10.417
228,grid,bounded,12,17,4,4,4,1.0000,4.0000,1,1.943,10.542
229,regular,bounded,7,14,4,2,2,1.0000,4.0000,1,1.163,9.541
230,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,2.154,12.219
231,lollipop,bounded,7,16,6,1,1,1.0000,6.0000,1,1.368,8.827
232,clique,rigid,13,78,12,1,1,1.0000,1.0000,1,2.296,2.011
233,star,rigid,9,8,8,1,1,1.0000,1.0000,1,1.505,1.120
234,complete_bipartite,rigid,21,110,11,10,10,1.0000,1.0000,1,3.814,1.975
235,crown,rigid,10,20,4,2,2,1.0000,1.0000,1,1.180,9.527
236,double_star,rigid,16,15,9,7,7,1.0000,1.0000,1,2.108,1.090
237,erdos_renyi,random,17,28,8,5,5,1.0000,8.0000,1,2.740,10.028
238,barabasi_albert,random,16,28,9,3,3,1.0000,9.0000,1,2.437,8.946
239,random_tree,random,25,24,5,9,9,1.0000,5.0000,1,3.311,11.644
240,path,bounded,15,14,2,5,5,1.0000,2.0000,1,2.213,11.360
241,cycle,bounded,9,9,2,3,3,1.0000,2.0000,1,1.421,11.201
242,ladder,bounded,18,25,3,5,5,1.0000,3.0000,1,2.973,9.959
243,grid,bounded,10,13,3,3,3,1.0000,4.0000,1,1.674,10.285
244,regular,bounded,20,50,5,4,4,1.0000,5.0000,1,3.289,11.263
245,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,1.825,12.614
246,lollipop,bounded,10,24,7,2,2,1.0000,7.0000,1,1.737,1.244
247,clique,rigid,2,1,1,1,1,1.0000,1.0000,1,0.462,0.886
248,star,rigid,24,23,23,1,1,1.0000,1.0000,1,2.583,1.127
249,complete_bipartite,rigid,16,63,9,7,7,1.0000,1.0000,1,2.641,1.474
250,crown,rigid,12,30,5,2,2,1.0000,1.0000,1,1.439,8.243
251,double_star,rigid,15,14,13,2,2,1.0000,1.0000,1,2.074,1.052
252,erdos_renyi,random,8,6,4,4,4,1.0000,4.0000,1,1.921,10.850
253,barabasi_albert,random,27,26,11,13,13,1.0000,11.0000,1,3.707,1.455
254,random_tree,random,24,23,4,8,8,1.0000,4.0000,1,3.592,11.316
255,path,bounded,4,3,2,2,2,1.0000,2.0000,1,1.183,0.940
256,cycle,bounded,17,17,2,6,6,1.0000,2.0000,1,2.070,10.860
257,ladder,bounded,12,16,3,4,4,1.0000,3.0000,1,1.937,10.103
258,grid,bounded,10,13,3,3,3,1.0000,4.0000,1,1.951,10.313
259,regular,bounded,32,64,4,8,8,1.0000,4.0000,1,4.215,47.690
260,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.824,1.462
261,lollipop,bounded,13,22,6,3,3,1.0000,6.0000,1,1.710,10.577
262,clique,rigid,5,10,4,1,1,1.0000,1.0000,1,0.892,1.070
263,star,rigid,22,21,21,1,1,1.0000,1.0000,1,2.142,1.141
264,complete_bipartite,rigid,12,36,6,6,6,1.0000,1.0000,1,1.696,1.111
265,crown,rigid,10,20,4,2,2,1.0000,1.0000,1,1.127,8.582
266,double_star,rigid,17,16,11,6,6,1.0000,1.0000,1,2.145,1.056
267,erdos_renyi,random,23,26,5,9,9,1.0000,5.0000,1,3.839,9.841
268,barabasi_albert,random,19,18,10,8,8,1.0000,10.0000,1,2.341,1.005
269,random_tree,random,12,11,6,5,5,1.0000,6.0000,1,1.563,0.903
270,path,bounded,22,21,2,8,8,1.0000,2.0000,1,2.618,10.888
271,cycle,bounded,15,15,2,5,5,1.0000,2.0000,1,2.339,11.525
272,ladder,bounded,8,10,3,3,3,1.0000,3.0000,1,1.473,10.090
273,grid,bounded,12,16,3,4,4,1.0000,4.0000,1,1.894,10.903
274,regular,bounded,10,10,2,4,4,1.0000,2.0000,1,1.785,11.724
275,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.938,1.261
276,lollipop,bounded,9,9,3,3,3,1.0000,3.0000,1,1.454,11.457
277,clique,rigid,3,3,2,1,1,1.0000,1.0000,1,0.645,0.941
278,star,rigid,3,2,2,1,1,1.0000,1.0000,1,0.719,0.917
279,complete_bipartite,rigid,17,60,12,5,5,1.0000,1.0000,1,2.592,1.552
280,crown,rigid,6,6,2,2,2,1.0000,1.0000,1,0.701,10.904
281,double_star,rigid,8,7,4,4,4,1.0000,1.0000,1,1.288,2.241
282,erdos_renyi,random,20,28,5,7,7,1.0000,5.0000,1,3.204,8.990
283,barabasi_albert,random,16,28,8,4,4,1.0000,8.0000,1,2.351,8.936
284,random_tree,random,23,22,5,8,8,1.0000,5.0000,1,3.081,1.165
285,path,bounded,7,6,2,3,3,1.0000,2.0000,1,1.104,0.890
286,cycle,bounded,23,23,2,8,8,1.0000,2.0000,1,2.500,13.159
287,ladder,bounded,24,34,3,7,7,1.0000,3.0000,1,3.590,13.120
288,grid,bounded,8,10,3,3,3,1.0000,4.0000,1,1.584,10.298
289,regular,bounded,14,35,5,3,3,1.0000,5.0000,1,2.206,9.408
290,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,2.176,12.439
291,lollipop,bounded,9,23,7,2,2,1.0000,7.0000,1,1.719,1.386
292,clique,rigid,2,1,1,1,1,1.0000,1.0000,1,0.512,0.947
293,star,rigid,25,24,24,1,1,1.0000,1.0000,1,2.229,1.128
294,complete_bipartite,rigid,17,72,9,8,8,1.0000,1.0000,1,2.512,1.436
295,crown,rigid,12,30,5,2,2,1.0000,1.0000,1,1.342,8.754
296,double_star,rigid,15,14,10,5,5,1.0000,1.0000,1,1.936,1.058
297,erdos_renyi,random,17,38,7,4,4,1.0000,7.0000,1,2.964,9.600
298,barabasi_albert,random,28,27,7,11,11,1.0000,7.0000,1,3.040,1.154
299,random_tree,random,5,4,3,2,2,1.0000,3.0000,1,0.917,0.825
300,path,bounded,25,24,2,9,9,1.0000,2.0000,1,2.951,9.946
301,cycle,bounded,30,30,2,10,10,1.0000,2.0000,1,3.472,11.087
302,ladder,bounded,16,22,3,5,5,1.0000,3.0000,1,2.531,10.829
303,grid,bounded,10,13,3,3,3,1.0000,4.0000,1,1.709,10.694
304,regular,bounded,12,24,4,3,3,1.0000,4.0000,1,1.919,3.731
305,balanced_tree,bounded,13,12,4,3,3,1.0000,4.0000,1,1.686,1.080
306,lollipop,bounded,14,14,3,5,5,1.0000,3.0000,1,1.984,14.787
307,clique,rigid,12,66,11,1,1,1.0000,1.0000,1,2.639,1.459
308,star,rigid,28,27,27,1,1,1.0000,1.0000,1,2.462,1.141
309,complete_bipartite,rigid,12,11,11,1,1,1.0000,1.0000,1,1.126,0.872
310,crown,rigid,8,12,3,2,2,1.0000,1.0000,1,0.917,9.672
311,double_star,rigid,14,13,12,2,2,1.0000,1.0000,1,13.912,1.167
312,erdos_renyi,random,33,34,6,12,12,1.0000,6.0000,1,4.644,10.250
313,barabasi_albert,random,30,29,9,11,11,1.0000,9.0000,1,4.427,1.372
314,random_tree,random,29,28,5,10,10,1.0000,5.0000,1,3.589,11.573
315,path,bounded,22,21,2,8,8,1.0000,2.0000,1,2.929,10.874
316,cycle,bounded,11,11,2,4,4,1.0000,2.0000,1,1.523,12.065
317,ladder,bounded,4,4,2,2,2,1.0000,3.0000,1,0.777,1.001
318,grid,bounded,4,4,2,2,2,1.0000,4.0000,1,0.733,0.920
319,regular,bounded,18,45,5,4,4,1.0000,5.0000,1,2.756,6.593
320,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,2.012,12.376
321,lollipop,bounded,11,13,4,3,3,1.0000,4.0000,1,2.155,11.967
322,clique,rigid,9,36,8,1,1,1.0000,1.0000,1,1.606,1.309
323,star,rigid,10,9,9,1,1,1.0000,1.0000,1,1.252,1.038
324,complete_bipartite,rigid,18,81,9,9,9,1.0000,1.0000,1,2.935,1.636
325,crown,rigid,10,20,4,2,2,1.0000,1.0000,1,1.169,8.782
326,double_star,rigid,11,10,7,4,4,1.0000,1.0000,1,1.636,1.031
327,erdos_renyi,random,12,26,7,2,2,1.0000,7.0000,1,1.979,7.883
328,barabasi_albert,random,9,8,6,3,3,1.0000,6.0000,1,1.353,0.983
329,random_tree,random,30,29,4,10,10,1.0000,4.0000,1,3.523,11.218
330,path,bounded,33,32,2,11,11,1.0000,2.0000,1,3.930,10.654
331,cycle,bounded,39,39,2,13,13,1.0000,2.0000,1,4.362,11.178
332,ladder,bounded,16,22,3,5,5,1.0000,3.0000,1,2.596,10.683
333,grid,bounded,9,12,4,3,3,1.0000,4.0000,1,1.597,10.069
334,regular,bounded,32,80,5,7,7,1.0000,5.0000,1,5.032,78.830
335,balanced_tree,bounded,15,14,3,5,5,1.0000,3.0000,1,1.934,12.260
336,lollipop,bounded,15,24,6,4,4,1.0000,6.0000,1,2.320,11.477
337,clique,rigid,8,28,7,1,1,1.0000,1.0000,1,1.362,1.168
338,star,rigid,25,24,24,1,1,1.0000,1.0000,1,2.159,1.191
339,complete_bipartite,rigid,11,10,10,1,1,1.0000,1.0000,1,1.247,0.913
340,crown,rigid,8,12,3,2,2,1.0000,1.0000,1,0.972,9.860
341,double_star,rigid,12,11,8,4,4,1.0000,1.0000,1,1.784,1.026
342,erdos_renyi,random,30,67,8,8,8,1.0000,8.0000,1,5.914,17.714
343,barabasi_albert,random,33,32,6,11,11,1.0000,6.0000,1,3.425,1.215
344,random_tree,random,34,33,4,14,14,1.0000,4.0000,1,3.958,11.657
345,path,bounded,29,28,2,10,10,1.0000,2.0000,1,3.444,10.434
